20191102-022			86579			3	2	11	20	1	4	6	7	8	23			11	1	4	6	5	15	6	12	7	2			2	20	7	35	9	5	5	11	1	12			14	5	7	1	4	2	10	7	11	3			9	1	11	8	2	4	52	3	6	9			2	1	4	1	1	5	6	7	8	9	
20191102-023			06883			0	3	12	21	2	5	7	8	1	24			12	2	5	7	6	16	6	13	8	3			3	21	8	36	10	1	6	12	8	13			15	6	8	2	5	3	11	1	8	4			10	2	12	3	3	5	53	4	7	1			0	2	5	3	2	1	6	1	8	1	
20191102-024			17324			1	1	13	22	3	6	8	9	2	25			13	3	6	8	7	17	1	7	9	4			4	22	9	3	11	2	7	13	1	14			16	7	2	3	6	4	12	2	1	5			11	3	13	1	4	6	54	5	8	2			1	1	2	3	4	2	1	7	1	2	
20191102-025			26069			2	1	2	23	4	7	9	10	3	26			14	4	7	9	8	18	6	1	10	5			0	23	10	1	12	3	8	14	2	15			17	8	1	4	7	5	6	3	2	6			12	4	14	2	1	7	55	6	9	9			0	1	2	1	1	3	6	1	2	9	
20191102-026			90129			3	2	1	24	5	8	10	11	4	9			0	5	8	10	9	19	1	2	11	6			1	1	11	2	13	4	9	15	3	16			18	9	2	5	8	6	1	4	3	7			13	5	15	3	2	8	56	7	10	9			0	1	2	2	2	4	1	2	3	9	
20191102-027			22910			4	3	2	25	6	9	11	12	5	1			1	6	2	11	10	20	2	3	12	7			2	1	12	3	14	5	10	16	4	9			19	1	1	6	9	7	2	5	4	8			0	6	16	4	3	9	57	8	11	1			0	1	2	3	3	5	2	3	4	9	
20191102-028			32463			5	4	1	3	7	10	12	13	6	2			2	7	2	12	11	21	3	4	13	8			3	2	13	4	4	6	11	17	5	1			20	1	2	7	10	8	6	6	5	9			1	7	17	3	4	10	58	9	12	2			1	1	2	3	4	6	6	4	5	1	
20191102-029			83325			6	5	2	1	8	11	13	14	8	3			3	8	1	3	12	22	4	5	14	9			4	3	14	3	1	7	12	18	6	2			21	2	2	8	11	9	1	7	6	10			2	8	18	1	5	5	59	10	13	3			2	2	2	3	1	5	1	5	8	2	
20191102-030			66532			7	6	3	2	9	12	6	15	1	4			4	9	2	1	13	23	6	6	15	10			5	4	15	1	2	5	13	19	7	3			22	3	1	3	12	10	2	8	7	11			3	9	2	2	6	1	60	11	14	4			3	3	2	3	2	5	6	6	1	3	
20191102-031			80373			8	7	4	3	10	13	1	16	8	5			0	10	3	2	14	24	1	7	16	11			6	5	16	3	3	1	14	20	8	4			23	4	2	1	13	11	3	7	8	12			4	10	1	3	7	2	61	12	15	5			0	4	1	3	3	1	1	7	8	4	
20191102-032			24352			9	8	2	4	11	14	2	17	1	6			1	11	4	3	4	25	2	8	17	12			7	6	17	3	4	2	15	21	9	5			24	5	3	2	14	5	4	1	9	13			5	11	2	1	8	3	62	13	16	6			1	5	2	3	4	5	2	1	1	5	
20191102-033			77083			10	9	1	5	12	15	3	7	2	7			2	12	5	4	1	26	3	7	18	13			0	7	18	1	5	3	16	22	10	6			25	6	4	3	15	1	5	2	8	14			6	12	1	3	9	4	63	14	17	7			0	6	1	3	1	1	3	7	8	6	
20191102-034			43973			11	10	2	6	4	16	4	1	3	8			3	13	6	3	2	27	4	1	19	14			1	8	19	2	6	4	17	23	11	9			26	7	5	4	16	2	6	7	1	15			7	13	2	3	10	5	64	15	18	8			1	7	2	3	4	2	4	7	1	9	
20191102-035			37869			12	11	3	3	1	17	5	2	4	9			4	14	7	1	3	28	5	7	20	15			2	9	20	3	7	5	18	24	8	1			27	8	6	5	17	3	6	1	2	16			8	14	3	1	11	6	65	16	19	9			2	8	3	3	1	3	6	7	8	9	
20191102-036			16851			13	1	4	1	2	18	6	3	5	10			5	15	8	2	4	29	6	1	21	16			3	10	21	4	8	6	19	25	8	2			28	9	7	6	18	5	1	2	3	17			9	1	4	2	12	7	66	17	20	1			3	1	4	1	2	5	6	1	8	1	
20191102-037			53208			14	1	5	2	3	5	7	4	6	11			6	16	9	3	5	30	1	2	22	17			4	11	2	5	9	7	20	26	1	3			0	10	8	7	19	1	2	3	4	18			10	1	5	3	13	8	67	18	8	2			0	1	2	3	3	5	1	2	8	2	
20191102-038			85985			15	2	6	3	4	1	8	5	8	12			7	17	10	1	6	5	2	3	23	18			5	12	1	6	10	8	21	27	2	9			1	11	9	8	20	2	3	4	8	19			11	2	6	4	14	5	68	19	1	3			1	2	1	1	4	5	2	3	8	9	
20191102-039			55413			16	3	7	4	5	5	9	6	1	13			8	18	11	2	7	5	3	4	24	19			6	13	2	7	4	9	22	28	3	1			2	1	10	9	21	3	4	5	1	20			12	3	7	3	15	1	69	20	2	4			2	1	2	3	4	5	3	4	1	1	
20191102-040			37296			17	4	8	3	6	1	10	7	2	14			9	19	12	3	8	1	4	7	25	20			7	14	2	8	1	10	23	29	4	2			3	1	11	10	22	4	5	6	2	9			13	4	8	1	16	2	6	21	3	5			3	1	2	3	1	1	6	7	2	9	
20191102-041			48983			18	5	9	1	4	2	11	8	3	15			10	20	13	4	9	2	5	1	8	21			8	15	1	9	2	11	24	30	5	9			4	2	12	11	23	5	6	7	8	1			14	5	9	3	17	3	1	22	4	6			4	2	1	3	4	2	1	1	8	9	
20191102-042			62713			19	6	10	2	1	3	6	9	4	16			11	21	2	5	10	3	6	2	1	22			9	16	2	10	3	12	25	7	6	1			5	1	13	12	24	6	7	8	1	2			15	6	10	3	18	4	2	23	5	7			5	1	2	3	1	3	6	7	1	1	
20191102-043			14814			20	1	11	3	2	4	1	10	5	17			12	22	1	6	4	4	7	3	2	23			10	17	3	11	4	13	26	1	8	2			6	1	14	13	25	7	8	9	2	3			16	7	11	1	4	5	3	24	6	8			6	1	1	1	4	4	1	1	8	2	
20191102-044			53489			21	1	12	4	3	5	2	11	6	18			13	23	2	3	1	5	8	4	3	24			11	18	4	12	4	14	27	2	1	3			7	1	15	14	26	8	9	10	8	4			17	8	12	2	1	6	4	25	7	9			7	1	2	3	4	5	2	2	8	9	
20191102-045			06866			0	2	13	5	4	1	3	12	7	19			14	24	3	1	2	6	6	5	4	25			12	19	5	13	1	15	28	3	8	4			8	2	16	15	27	9	6	11	1	5			18	9	13	3	2	7	6	26	8	1			0	2	3	1	1	1	6	3	8	1	
