165	20191124053	9,2,4,0,3
166	20191124054	4,1,7,4,2
167	20191124055	6,3,3,0,3
168	20191124056	5,0,3,2,0
169	20191124057	0,6,9,3,8
170	20191124058	6,1,7,3,7
171	20191124059	8,8,2,7,3
172	20191125001	9,4,6,0,6
173	20191125002	2,3,8,3,5
174	20191125003	0,9,4,0,9
175	20191125004	5,4,0,8,1
176	20191125005	1,7,9,9,1
177	20191125006	8,5,2,6,7
178	20191125007	7,9,7,5,1
179	20191125008	0,2,4,9,7
180	20191125011	6,9,2,2,2
181	20191125012	7,8,5,3,4
182	20191125013	6,4,9,2,8
183	20191125014	9,9,5,2,6
184	20191125015	2,1,9,7,4
185	20191125016	7,5,8,8,7
186	20191125017	5,9,1,5,9
187	20191125018	2,6,3,4,8
188	20191125019	6,0,4,2,0
189	20191125020	5,6,8,4,0
190	20191125021	6,1,3,6,7
191	20191125022	7,2,7,3,5
192	20191125023	9,8,3,3,8
193	20191125024	7,9,4,0,3
194	20191125025	6,0,7,9,0
195	20191125026	0,1,9,0,9
196	20191125027	0,2,8,3,1
197	20191125028	8,0,4,3,5
198	20191125029	8,5,7,7,6
199	20191125030	0,2,0,3,1
200	20191125031	1,6,7,7,5
201	20191125032	9,0,3,0,6
202	20191125033	4,0,8,2,9
203	20191125034	5,0,8,7,1
204	20191125035	1,2,0,3,7
205	20191125036	3,5,3,5,5
206	20191125037	9,2,7,2,8
207	20191125038	5,6,3,3,6
208	20191125039	8,4,3,2,9
209	20191125040	8,5,9,3,1
210	20191125041	9,3,3,8,9
211	20191125042	6,8,6,6,0
212	20191125043	9,8,2,3,5
213	20191125044	4,8,2,1,1
214	20191125045	7,9,4,8,7
215	20191125046	2,7,8,2,5
216	20191125047	1,7,6,3,9
217	20191125048	0,6,7,4,9
218	20191125049	4,3,3,3,8
219	20191125050	3,9,1,7,2
220	20191125051	0,5,3,7,5
221	20191125052	6,4,3,2,0
222	20191125053	8,6,0,3,3
223	20191125054	6,3,3,6,7
224	20191125055	9,0,7,8,6
225	20191125056	6,1,6,8,7
